id,name,state,cluster,goal_usd,name_len_clean,blurb_len_clean,project_duration_days,staff_pick_coalesced,show_feature_image,video
4491760,SARK KIDS: a delightful journey of spelling and vocabulary,successful,1,25000.0,8,14,60,False,False,True
4648555,Jojo's Fall Adventures 祖兒嘅秋天歷險記,successful,2,5000.0,4,8,14,True,False,True
4020906,App - MeiXter: Learn - Teach - Share,successful,1,13026.4476,5,18,30,False,True,True
4023937,USA's Nuclear Tomb In Paradise,failed,0,5500.0,5,21,40,False,False,False
3405651,Game Night Pilot Episode,failed,1,7520.0,4,14,30,False,False,True
4382234,The Rib King,failed,1,10000.0,2,5,30,False,False,True
3805043,A Slice of Nice; changing a community...one slice at a time,failed,1,25000.0,8,9,35,False,False,True
2435139,The Crooked Road Guitar Sampler CD,successful,1,9500.0,5,20,30,False,False,True
3364968,Season Sisters,failed,1,22051.17248,2,10,30,False,False,True
4043475,Forever: The New Caribbean Rum Cream,failed,0,54975.90882,5,10,16,False,False,False
4419774,Katrin Blackwater Tarot,successful,1,12534.747054,3,7,30,False,False,True
4364415,Bella Ciao,failed,0,39169.561448,2,13,30,False,False,False
3509695,Adventure Oracle: Your Guide to Deep Travel,failed,1,10000.0,7,19,35,False,False,True
3143053,Debut Jazz/Funk/Soul Album by Matt Shevitz,successful,1,5250.0,6,21,30,False,False,True
3382621,Familiar Faces,failed,0,500.0,2,15,16,False,False,False
3462789,Haikyuu!! Deep Breath Fanbook,successful,0,1560.51,4,11,30,False,False,False
4266978,Backpage Shawty: Episode 6,failed,0,200.0,4,12,30,False,False,False
2929315,BETTER EATING | Targeted vegan educational videos,successful,1,97500.0,6,19,28,False,False,True
3778239,Crawlers Baby Gloves,failed,1,20000.0,3,6,60,False,False,True
3053751,Star lights and sky lines: 3D City Portraits,successful,1,8000.0,8,22,30,False,False,True
4137756,A-Lister,failed,1,120000.0,1,9,29,False,False,True
3310977,WSSS + Croche Dedan’s NZ/French Shanty Album,successful,1,2749.6382000000003,6,21,29,False,False,True
4695162,The NanoInk: Titanium Quick Release Eternity Pen,successful,1,2556.5738,6,8,28,False,False,True
4647657,TO BOLDLY GO,successful,2,100000.0,3,16,44,True,False,True
4155813,"TURN UP THE NIGHT - (An 80's ""Hair Band"" movie)",failed,1,2000.0,7,15,27,False,False,True
4516539,Video Game Inspired Body Scrubs,failed,0,1604.866855,5,11,14,False,False,False
4056431,The Audience,failed,1,7064.453631,1,16,37,False,False,True
3112932,A Widows Touch Episode 1,failed,1,650.0,4,12,30,False,False,True
3359924,The Children's Tree,successful,1,260.0,2,16,13,False,False,True
4805110,Emotional Support Ghosts,successful,0,300.0,3,13,30,False,False,False
4564624,Support The Two Tracks 4th Album!,successful,1,25000.0,5,13,27,False,False,True
3333064,Miss N.Y.C. Party Children's Entertainment Launch PARTY,failed,0,1000.0,7,23,33,False,False,False
3049004,Transgender rapper/singer Bluu is making an album,failed,0,400.0,6,17,10,False,False,False
4490635,Two Hearts That Beat as One: an Autobiography,successful,2,18000.0,7,13,24,True,False,True
3720498,Översätta Holy White Lies del 1 till svenska,successful,1,10511.385,8,11,30,False,False,True
3191139,Premio Internacional Talento Sin Frontera,failed,0,11931.622299999999,5,20,30,False,False,False
4796973,Sexy Anime Pins Vol.XVII,successful,0,450.0,4,15,7,False,False,False
3721390,Reanimation - Video Series,failed,1,5000.0,3,5,60,False,False,True
3859884,A Stitch In Time,failed,1,7492.59138,3,7,30,False,False,True
3068697,Girl Tales Podcast,successful,2,5000.0,3,12,30,True,False,True
2840520,Wireless Insider,failed,0,5193.067387,2,20,59,False,False,False
3869795,Maysville Brewing Company: Going to the Next Level,failed,0,38000.0,7,12,30,False,False,False
2911491,Jazz Cats,failed,1,10000.0,2,23,29,False,False,True
1855690,The MultiFacet Series: 1st Refraction (web motion comic),failed,1,33477.851304,7,20,44,False,False,True
4647984,Modern Dance Performance,successful,1,1400.0,3,9,51,False,False,True
3057979,Herbal Tea Remedies,failed,0,10000.0,3,21,30,False,False,False
4550282,Boop - A virtual meeting controller,successful,1,8000.0,4,16,30,False,True,True
4170481,Polar Pocket,failed,1,5000.0,2,19,30,False,False,True
4522892,The New Damn Mostaza E.P,successful,0,1046.38849,4,14,54,False,False,False
4657043,No Waste Cooking Pots x Mystery Cooking Game,successful,2,21571.5988,8,18,30,True,False,True
3271862,The Wild Sonnets - Volume I (1-100),failed,1,1500.0,5,16,15,False,False,True
3203415,Down but not Out,failed,1,10000.0,4,21,30,False,False,True
4143751,Sacred Nature Volume 2: Reconnecting People to Our Planet,successful,1,30000.0,9,20,30,False,False,True
4502812,Il Rey del Pay - The King of Pie (My flavors to the world),failed,1,25589.850000000002,11,18,51,False,False,True
4311575,Spirit Watch Mobile App - A New World of Spirituality,failed,0,350000.0,8,11,30,False,False,False
