staff_pick,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days
False,3,20,False,False,True,5500.0,35
False,4,23,False,False,True,10000.0,30
False,6,13,False,False,True,8500.0,30
False,5,14,False,False,True,5000.0,30
False,9,18,False,False,True,15000.0,31
False,7,20,False,False,True,2000.0,49
False,9,16,False,False,True,5000.0,55
False,6,16,False,False,True,2500.0,36
False,8,12,False,False,True,5000.0,31
False,4,14,False,False,False,500.0,35
False,7,17,False,False,True,30000.0,25
False,2,17,False,False,True,658.147605,29
False,5,22,False,False,True,5000.0,10
False,1,20,False,False,False,1000.0,30
False,8,18,False,True,True,22906.41547,30
False,4,24,False,False,True,3000.0,41
True,1,19,False,False,True,800.0,44
False,6,9,False,False,True,40000.0,29
False,6,22,False,False,True,50000.0,30
False,6,21,False,False,False,30000.0,60
False,5,16,False,False,True,2000.0,30
False,5,22,False,False,True,5500.0,25
False,1,16,True,False,True,35169.002472,30
False,4,9,False,False,True,10000.0,30
False,5,23,False,False,True,30000.0,30
False,8,20,False,False,False,10000.0,60
True,5,10,False,False,True,13500.0,30
False,7,19,False,False,True,3330.0,30
False,10,22,False,False,True,3879.64311,30
False,5,18,False,False,True,80000.0,60
True,7,13,False,False,True,10000.0,30
False,2,18,False,False,True,3000.0,30
False,5,14,False,False,False,166.4198096,31
False,6,19,False,True,True,5000.0,35
False,3,11,False,False,False,600.0,30
False,6,16,False,False,True,2700.0,30
False,5,20,False,False,True,2000.0,19
False,2,16,False,False,True,1.0,60
False,7,10,False,False,False,555.0,21
False,1,5,False,False,True,7500.0,30
False,6,18,False,False,True,300.0,16
False,6,21,False,False,False,279.82729015,36
False,4,16,False,False,True,10000.0,30
False,4,20,False,False,True,10000.0,30
False,3,19,False,False,False,25000.0,30
False,7,9,False,False,True,10000.0,60
False,7,18,False,False,False,50000.0,59
False,4,18,False,False,True,10000.0,30
False,4,19,False,False,True,10000.0,29
False,4,22,False,False,True,6000.0,29
False,5,25,False,False,False,5000.0,50
False,3,15,False,False,True,2500.0,31
False,6,22,False,False,True,11000.0,56
False,8,22,False,False,True,7000.0,22
False,5,19,False,False,True,5400.0,27
True,5,9,False,False,True,10000.0,30
False,2,23,False,False,True,97000.0,60
False,7,16,False,False,True,15000.0,30
False,6,15,False,False,True,20000.0,33
False,1,4,False,False,True,18000.0,36
False,2,21,False,False,True,195000.0,30
False,5,10,False,False,True,6000.0,30
False,7,20,False,False,True,33477.851304,44
False,8,11,False,False,True,8000.0,45
False,1,12,False,False,False,20000.0,30
False,2,18,False,False,True,20000.0,30
True,3,18,False,False,True,4500.0,25
False,6,19,False,False,True,22819.7646625,40
False,6,18,False,False,False,1176.7543899999998,30
False,3,22,False,False,True,18000.0,29
False,6,17,False,False,False,7864.9989,26
False,9,21,False,False,True,12000.0,30
False,3,18,False,False,True,3500.0,35
False,3,22,False,False,False,4000.0,57
False,3,19,False,False,True,7165.1248350000005,25
True,8,20,False,False,True,50000.0,30
False,5,16,False,False,False,3000.0,40
True,4,17,False,False,True,10000.0,40
False,4,16,False,False,True,5000.0,30
False,3,18,False,True,True,21354.9597,30
False,11,24,False,False,True,499000.0,30
False,6,22,False,False,True,2500.0,32
False,7,11,False,False,True,2139.5294200000003,30
False,8,19,False,False,True,500.0,29
False,4,7,False,False,True,2837.2292519999996,29
False,9,21,False,False,True,10000.0,30
False,4,20,False,False,False,335798.9925,30
False,9,22,False,False,True,55000.0,30
False,4,20,False,False,False,6350.0,24
False,3,18,False,False,True,28657.971,36
False,1,20,False,False,True,25000.0,34
True,8,14,False,False,True,7644.5136299999995,42
False,8,18,False,False,False,35000.0,30
False,6,18,False,False,True,35975.2875,30
True,3,12,False,True,True,50000.0,30
False,9,17,False,False,True,19250.0785,37
False,1,21,False,False,True,100000.0,30
False,7,23,False,False,True,2000.0,31
False,9,21,False,False,True,3291.40322,45
False,4,18,False,False,True,20000.0,31
True,8,16,False,True,True,35000.0,38
False,3,22,False,False,False,49306.423500000004,60
False,1,13,False,False,True,12800.0,30
False,3,22,False,False,False,901.503936,30
False,4,21,False,False,False,2500.0,30
False,4,17,False,False,True,7001.01655,29
False,5,17,False,False,True,7090.9011,30
False,6,19,False,False,False,17000.0,30
False,3,18,False,False,True,2500.0,30
False,2,13,False,False,False,25000.0,30
False,3,17,False,False,True,5500.0,25
False,7,17,False,False,True,49000.0,27
False,5,18,False,False,True,7498.8883,35
False,7,19,False,False,True,9000.0,19
True,6,15,False,False,True,100000.0,60
False,6,20,False,False,True,1500.0,58
False,7,14,False,False,True,18173.8464,30
False,7,16,False,False,True,22625.5095,28
False,4,24,False,False,True,2500.0,30
False,4,4,False,False,True,30000.0,45
False,3,24,False,False,True,6000.0,30
False,3,17,False,False,False,1500.0,21
False,7,21,False,False,True,5000.0,40
False,3,20,False,False,True,10677.3953,30
True,6,20,False,False,True,2483.00076,30
False,4,20,False,False,True,18000.0,40
False,5,20,False,False,True,9500.0,30
False,5,6,False,False,True,12000.0,30
False,8,12,False,False,True,7447.299720000001,32
False,2,8,False,False,True,7322.788500000001,29
False,6,21,False,False,False,165000.0,30
False,4,18,False,False,True,3398.9816119999996,14
False,7,17,False,False,False,1000.0,30
True,8,19,False,False,True,20000.0,30
False,9,16,False,False,True,485273.8085,30
False,4,22,False,False,False,697.892712,40
False,4,22,False,False,True,8921.601480000001,31
False,2,13,False,False,True,209790.064,30
False,8,18,False,False,True,4100.0,20
False,8,17,False,False,True,140000.0,40
False,8,18,False,True,True,11750.0,30
False,6,13,False,False,True,11730.852,30
False,2,17,False,False,True,26919.5815,45
True,2,10,False,False,True,25000.0,30
False,1,10,False,False,True,4000.0,35
False,2,15,False,False,False,6500.0,60
True,5,17,False,False,True,55000.0,45
False,8,20,False,False,True,600.0,21
False,1,20,False,False,False,11000.0,29
False,7,13,False,False,True,10000.0,60
False,4,9,False,False,True,7429.0,30
False,3,21,False,False,False,10000.0,60
False,8,21,False,False,True,12940.4777,35
False,4,22,False,False,False,5000.0,7
False,8,15,False,False,True,3500.0,30
False,10,16,False,False,False,12000.0,30
False,2,15,False,False,False,20000.0,29
False,4,7,False,False,True,20000.0,30
False,2,17,False,False,True,10000.0,30
False,2,21,False,False,True,6188.8235,59
False,6,22,False,False,True,16000.0,29
False,3,5,False,False,True,13340.448199999999,45
False,9,12,False,False,False,851.1199680000001,29
False,9,17,False,False,False,2500.0,30
True,5,17,False,False,True,4621.0496219999995,42
False,8,18,False,False,False,5300.0,45
False,1,15,False,False,False,30000.0,30
False,9,16,False,False,True,4000.0,31
False,3,12,False,False,False,3000.0,45
False,7,22,False,False,True,2227.669313,30
False,5,21,False,False,False,2282.82009,40
False,9,17,False,False,True,49950.0,38
False,9,11,False,False,True,13755.347459999999,39
False,5,17,False,False,False,3900.0,52
False,4,20,False,False,False,600.0,15
False,5,21,False,False,True,500.0,45
False,6,16,False,False,True,4959.00144,30
False,8,19,False,False,False,750.0,42
False,4,16,False,False,True,8899.0206,29
False,3,19,False,False,True,2969.59948,35
False,4,12,False,False,True,13372.058875,30
False,3,8,False,False,True,22509.8481,30
False,2,15,False,False,True,800.0,30
False,6,22,False,False,True,474.477462,45
False,8,7,False,False,True,70027.78510000001,30
True,6,11,False,False,False,54495.50594,34
False,9,17,False,False,True,11491.25895,32
False,5,18,False,False,True,100000.0,30
False,5,16,False,False,True,10000.0,32
False,9,20,False,False,True,50000.0,60
True,4,14,False,False,False,2500.0,29
False,4,17,False,False,False,2972.53083,30
False,4,23,False,False,True,15000.0,30
False,3,19,False,False,True,7500.0,30
False,5,6,False,False,True,12316.0445,30
False,1,13,False,False,False,11982.67521,60
False,7,14,False,False,True,2000.0,30
False,3,13,False,False,False,10000.0,30
False,8,6,False,False,True,10000.0,30
False,3,21,False,False,True,12000.0,30
False,3,20,False,False,True,13500.0,44
False,8,18,False,False,True,68000.0,45
False,5,14,False,False,True,10767.8326,30
False,5,15,False,False,True,5000.0,31
False,4,16,False,False,True,15000.0,34
True,8,14,False,False,True,6444.960050000001,33
False,6,23,False,False,True,4000.0,35
False,4,19,False,False,True,3000.0,25
False,3,21,False,False,False,75000.0,30
False,7,18,False,False,True,50000.0,38
False,8,17,False,False,True,24494.794,38
False,2,16,False,False,True,6506.3431439999995,30
False,3,25,False,False,True,5000.0,29
False,4,15,False,False,True,1209.6698789999998,30
True,8,18,False,False,True,25000.0,30
False,6,22,False,False,True,30000.0,60
False,4,18,False,False,True,6000.0,48
False,7,20,False,False,True,25000.0,30
False,7,26,False,False,False,219.25336860000002,30
True,4,19,False,False,True,125000.0,30
False,7,18,False,False,True,6640.0,30
False,3,20,False,True,True,23000.0,30
False,6,18,False,False,True,1218.80024,30
False,4,22,False,False,True,30000.0,40
False,7,10,False,False,True,364.23238000000003,60
True,5,16,False,False,True,40000.0,30
False,6,22,False,False,True,6500.0,29
False,3,10,False,False,True,25000.0,30
False,2,19,False,False,False,1000.0,29
False,8,18,False,False,True,4305.46404,60
False,2,16,False,False,False,10000.0,29
True,5,16,False,False,True,29699.959250000004,30
False,5,18,False,False,True,15000.0,31
False,8,18,False,False,True,100.0,21
False,4,16,False,False,False,90000.0,60
False,7,13,False,False,True,3600.0,35
False,2,5,False,False,True,5878.89475,30
True,4,18,False,False,True,16000.0,30
False,5,18,False,True,True,14599.978799999999,30
False,4,22,False,False,True,30000.0,29
False,8,18,False,False,True,1984816.1600000001,59
False,9,15,False,False,True,20000.0,30
False,6,16,False,False,True,541734.7041,35
False,6,17,False,False,True,1500.0,30
True,7,10,False,False,True,20000.0,29
False,9,18,False,False,True,15000.0,25
False,4,15,False,False,False,1244.3645800000002,29
True,2,16,False,True,True,31658.99475,30
True,7,18,False,False,True,20000.0,32
False,5,20,False,False,True,5000.0,44
False,2,11,False,False,True,1850.0,23
False,8,19,False,False,True,3843.29505,29
False,9,20,False,False,True,29727.9888,30
False,2,17,False,False,True,267006.8873,60
False,4,6,False,False,True,2000.0,15
False,6,11,False,False,True,19372.054216,30
False,2,11,False,False,True,10327.2783,40
True,5,15,False,False,True,361.58156775000003,30
False,4,10,False,False,True,10000.0,30
False,6,21,False,False,True,7500.0,29
False,3,19,False,False,True,7500.0,30
False,4,12,False,False,True,3500.0,38
False,3,21,False,False,True,647.09255,30
True,4,22,False,False,True,14023.435000000001,30
False,7,19,False,False,True,1000.0,37
True,4,22,False,True,True,40000.0,41
False,5,24,False,False,True,19153.337399999997,59
False,7,14,False,False,True,10000.0,30
False,6,18,False,True,True,6954.003000000001,23
True,9,20,False,False,True,10000.0,22
